Executing whmapi1 listaccts search= searchtype=owner
Executing uapi --user=quebox DomainInfo list_domains
Executing uapi --user=travelcro DomainInfo list_domains
Executing uapi --user=stellars DomainInfo list_domains
Executing uapi --user=modellook DomainInfo list_domains
Executing uapi --user=festiwine DomainInfo list_domains
Executing uapi --user=videbilic DomainInfo list_domains
Executing uapi --user=mozemobolje DomainInfo list_domains
Executing uapi --user=prostranstva DomainInfo list_domains
Executing uapi --user=lineanamjestaj DomainInfo list_domains
Executing uapi --user=vlahoinsight DomainInfo list_domains
Executing uapi --user=duneahr DomainInfo list_domains
Executing uapi --user=neretvaeu DomainInfo list_domains
Executing uapi --user=lucinkantun DomainInfo list_domains
Executing uapi --user=assistantdu DomainInfo list_domains
Executing uapi --user=steakhr DomainInfo list_domains
Executing uapi --user=apartmlin DomainInfo list_domains
Executing uapi --user=redimu DomainInfo list_domains
Executing uapi --user=unseencavtat DomainInfo list_domains
Executing uapi --user=maslekmarina DomainInfo list_domains
Executing uapi --user=naturadalmatia DomainInfo list_domains
Executing uapi --user=vlahoprikaz DomainInfo list_domains
Executing uapi --user=hrmindel DomainInfo list_domains
Executing uapi --user=bazenidubrovnik DomainInfo list_domains
Executing uapi --user=ragusarentacar DomainInfo list_domains
Executing uapi --user=hepakid DomainInfo list_domains
Executing uapi --user=edddu DomainInfo list_domains
Executing uapi --user=restaurantkonavo DomainInfo list_domains
Executing uapi --user=barkidzija DomainInfo list_domains
Executing uapi --user=fenbar DomainInfo list_domains
Executing uapi --user=ssndjs DomainInfo list_domains
Executing uapi --user=svetivlaho DomainInfo list_domains
Executing uapi --user=alfaomegadu DomainInfo list_domains
Executing uapi --user=otsdu DomainInfo list_domains
Executing uapi --user=maticadu DomainInfo list_domains
Executing uapi --user=hrfuria DomainInfo list_domains
Executing uapi --user=mladizupanije DomainInfo list_domains
Executing uapi --user=interlipa DomainInfo list_domains
Executing uapi --user=citywallsdu DomainInfo list_domains
Executing uapi --user=orsulafestival DomainInfo list_domains
Executing uapi --user=kitchensandfloor DomainInfo list_domains
Executing uapi --user=dueuropa DomainInfo list_domains
Executing uapi --user=lagneretva DomainInfo list_domains
Executing uapi --user=dubrovniklux DomainInfo list_domains
Executing uapi --user=belvederedubrovn DomainInfo list_domains
Executing uapi --user=steakcom DomainInfo list_domains
Executing uapi --user=logoscavtat DomainInfo list_domains
Executing uapi --user=indubrov DomainInfo list_domains
Executing uapi --user=vucano5 DomainInfo list_domains
Executing uapi --user=gostionicazavala DomainInfo list_domains
Executing uapi --user=eventlab DomainInfo list_domains
Executing uapi --user=seaway DomainInfo list_domains
Executing uapi --user=dizup DomainInfo list_domains
Executing uapi --user=royalpro DomainInfo list_domains
Executing uapi --user=aktivator DomainInfo list_domains
Executing uapi --user=inktattoo DomainInfo list_domains
Executing uapi --user=ruraldub DomainInfo list_domains
Executing uapi --user=ruralholidayscom DomainInfo list_domains
Executing uapi --user=arivadu7 DomainInfo list_domains
Executing uapi --user=optikavista DomainInfo list_domains
Executing uapi --user=odvjetniktokicdu DomainInfo list_domains
Executing uapi --user=eyes2check DomainInfo list_domains
Executing uapi --user=monline DomainInfo list_domains
Executing uapi --user=ctravel DomainInfo list_domains
Executing uapi --user=pitagora DomainInfo list_domains
Executing uapi --user=galerijabokar DomainInfo list_domains
Executing uapi --user=markomisic DomainInfo list_domains
Executing uapi --user=plusivan DomainInfo list_domains
Executing uapi --user=emzelicn DomainInfo list_domains
Executing uapi --user=elftreeh DomainInfo list_domains
Executing uapi --user=tocan DomainInfo list_domains
Executing uapi --user=stayok DomainInfo list_domains
Executing uapi --user=salerent DomainInfo list_domains
Executing uapi --user=dil93com DomainInfo list_domains
Executing uapi --user=apexfakt DomainInfo list_domains
Executing uapi --user=floorfit DomainInfo list_domains
Executing uapi --user=wolushcr DomainInfo list_domains
Executing uapi --user=elektron DomainInfo list_domains
Executing uapi --user=divlabhr DomainInfo list_domains
Executing uapi --user=akutasti DomainInfo list_domains
Executing uapi --user=eurolimb DomainInfo list_domains
Executing uapi --user=lovelyda DomainInfo list_domains
Executing uapi --user=kodadric DomainInfo list_domains
Executing uapi --user=cerashco DomainInfo list_domains
Executing uapi --user=valaltah DomainInfo list_domains
Executing uapi --user=vitalisd DomainInfo list_domains
Executing uapi --user=implantc DomainInfo list_domains
Executing uapi --user=msdesig DomainInfo list_domains
Executing uapi --user=pticahr DomainInfo list_domains
Executing uapi --user=apartma1 DomainInfo list_domains
Executing uapi --user=apartma2 DomainInfo list_domains
Executing uapi --user=planhr DomainInfo list_domains
Executing uapi --user=fugehr DomainInfo list_domains
Executing uapi --user=pergulco DomainInfo list_domains
Executing uapi --user=medvjedi DomainInfo list_domains
Executing uapi --user=mariccom DomainInfo list_domains
Executing uapi --user=archipel DomainInfo list_domains
Executing uapi --user=igremladih DomainInfo list_domains
Executing uapi --user=bastion DomainInfo list_domains
Executing uapi --user=villamon DomainInfo list_domains
Executing uapi --user=villaaur DomainInfo list_domains
Executing uapi --user=goodyear DomainInfo list_domains
Executing uapi --user=termejez DomainInfo list_domains
Executing uapi --user=jomispor DomainInfo list_domains
Executing uapi --user=angelsco DomainInfo list_domains
Executing uapi --user=dptkinf DomainInfo list_domains
Executing uapi --user=meatthek DomainInfo list_domains
Executing uapi --user=campingm DomainInfo list_domains
Executing uapi --user=craftlif DomainInfo list_domains
Executing uapi --user=campingc DomainInfo list_domains
Executing uapi --user=dekkera DomainInfo list_domains
Executing uapi --user=iskraeme DomainInfo list_domains
Executing uapi --user=carentah DomainInfo list_domains
Executing uapi --user=copyelec DomainInfo list_domains
Executing uapi --user=connecto DomainInfo list_domains
Executing uapi --user=greenway DomainInfo list_domains
Executing uapi --user=mobilema DomainInfo list_domains
Executing uapi --user=udrop DomainInfo list_domains
Executing uapi --user=campingp DomainInfo list_domains
Executing uapi --user=vendomat DomainInfo list_domains
Executing uapi --user=msfgccco DomainInfo list_domains
Executing uapi --user=comlandh DomainInfo list_domains
Executing uapi --user=darkofri DomainInfo list_domains
Executing uapi --user=vangoghc DomainInfo list_domains
Executing uapi --user=aquaarte DomainInfo list_domains
Executing uapi --user=eug2016 DomainInfo list_domains
Executing uapi --user=rein DomainInfo list_domains
Executing uapi --user=istravac DomainInfo list_domains
Executing uapi --user=uljaraes DomainInfo list_domains
Executing uapi --user=acbetaco DomainInfo list_domains
Executing uapi --user=agrariam DomainInfo list_domains
Executing uapi --user=proing DomainInfo list_domains
Executing uapi --user=mramoter DomainInfo list_domains
Executing uapi --user=mreznica DomainInfo list_domains
Executing uapi --user=hdndhr DomainInfo list_domains
Executing uapi --user=ledshoph DomainInfo list_domains
Executing uapi --user=villaspo DomainInfo list_domains
Executing uapi --user=kvisko DomainInfo list_domains
Executing uapi --user=hrvatsko DomainInfo list_domains
Executing uapi --user=gekhr DomainInfo list_domains
Executing uapi --user=soundnews DomainInfo list_domains
Executing uapi --user=optikaso DomainInfo list_domains
Executing uapi --user=robertpauletic DomainInfo list_domains
Executing uapi --user=ohsocroa DomainInfo list_domains
Executing uapi --user=agriconh DomainInfo list_domains
Executing uapi --user=funktion DomainInfo list_domains
Executing uapi --user=ottobock DomainInfo list_domains
Executing uapi --user=siriuscruising DomainInfo list_domains
Executing uapi --user=vinylzag DomainInfo list_domains
Executing uapi --user=puntaadr DomainInfo list_domains
Executing uapi --user=expertpl DomainInfo list_domains
Executing uapi --user=bruthr DomainInfo list_domains
Executing uapi --user=kleptokr DomainInfo list_domains
Executing uapi --user=lupomusi DomainInfo list_domains
Executing uapi --user=fiorinhr DomainInfo list_domains
Executing uapi --user=amrsustavi DomainInfo list_domains
Executing uapi --user=medenteu DomainInfo list_domains
Executing uapi --user=kajzerdom DomainInfo list_domains
Executing uapi --user=infoverb DomainInfo list_domains
Executing uapi --user=toleranc DomainInfo list_domains
Executing uapi --user=encroati DomainInfo list_domains
Executing uapi --user=sunglass DomainInfo list_domains
Executing uapi --user=kompozit DomainInfo list_domains
Executing uapi --user=sistemah DomainInfo list_domains
Executing uapi --user=ergoacti DomainInfo list_domains
Executing uapi --user=astrologijatarot DomainInfo list_domains
Executing uapi --user=mandalen DomainInfo list_domains
Executing uapi --user=ivkamark DomainInfo list_domains
Executing uapi --user=villam10 DomainInfo list_domains
Executing uapi --user=ostrovkr DomainInfo list_domains
Executing uapi --user=swytme DomainInfo list_domains
Executing uapi --user=adriamar DomainInfo list_domains
Executing uapi --user=trail9ac DomainInfo list_domains
Executing uapi --user=stretchf DomainInfo list_domains
Executing uapi --user=son3sta DomainInfo list_domains
Executing uapi --user=strojome DomainInfo list_domains
Executing uapi --user=studioqu DomainInfo list_domains
Executing uapi --user=integrit DomainInfo list_domains
Executing uapi --user=initlabs DomainInfo list_domains
Executing uapi --user=plusfwdh DomainInfo list_domains
Executing uapi --user=planetau DomainInfo list_domains
Executing uapi --user=studiokappo DomainInfo list_domains
Executing uapi --user=lokoopre DomainInfo list_domains
Executing uapi --user=vskrizevci DomainInfo list_domains
Executing uapi --user=alphaden DomainInfo list_domains
Executing uapi --user=fujifilm DomainInfo list_domains
Executing uapi --user=energoap DomainInfo list_domains
Executing uapi --user=eurookna DomainInfo list_domains
Executing uapi --user=tihihvar DomainInfo list_domains
Executing uapi --user=monparad DomainInfo list_domains
Executing uapi --user=apartmen DomainInfo list_domains
Executing uapi --user=instrukcije DomainInfo list_domains
Executing uapi --user=rrcrugby DomainInfo list_domains
Executing uapi --user=domagojp DomainInfo list_domains
Executing uapi --user=tzgrovin DomainInfo list_domains
Executing uapi --user=ntsieshr DomainInfo list_domains
Executing uapi --user=linguale DomainInfo list_domains
Executing uapi --user=wighr DomainInfo list_domains
Executing uapi --user=cronshop DomainInfo list_domains
Executing uapi --user=danielis DomainInfo list_domains
Executing uapi --user=kongresg DomainInfo list_domains
Executing uapi --user=subing DomainInfo list_domains
Executing uapi --user=agroekol DomainInfo list_domains
Executing uapi --user=euxokovi DomainInfo list_domains
Executing uapi --user=bifixhr DomainInfo list_domains
Executing uapi --user=minusipl DomainInfo list_domains
Executing uapi --user=nosteria DomainInfo list_domains
Executing uapi --user=bamhr DomainInfo list_domains
Executing uapi --user=alinet DomainInfo list_domains
Executing uapi --user=soleohr DomainInfo list_domains
Executing uapi --user=metallov DomainInfo list_domains
Executing uapi --user=fishinat DomainInfo list_domains
Executing uapi --user=spz DomainInfo list_domains
Executing uapi --user=balmaris DomainInfo list_domains
Executing uapi --user=konobab DomainInfo list_domains
Executing uapi --user=dcfiloco DomainInfo list_domains
Executing uapi --user=quatrica DomainInfo list_domains
Executing uapi --user=vedaliba DomainInfo list_domains
Executing uapi --user=pavelgre DomainInfo list_domains
Executing uapi --user=touristbureau DomainInfo list_domains
Executing uapi --user=provita DomainInfo list_domains
Executing uapi --user=emisija DomainInfo list_domains
Executing uapi --user=obrtnick DomainInfo list_domains
Executing uapi --user=flegartc DomainInfo list_domains
Executing uapi --user=kdominic DomainInfo list_domains
Executing uapi --user=lin44hos DomainInfo list_domains
Executing uapi --user=spectisn DomainInfo list_domains
Executing uapi --user=larimarc DomainInfo list_domains
Executing uapi --user=pwwcomhr DomainInfo list_domains
Executing uapi --user=yachtstr DomainInfo list_domains
Executing uapi --user=liskicom DomainInfo list_domains
Executing uapi --user=titongru DomainInfo list_domains
Executing uapi --user=ramzimaa DomainInfo list_domains
Executing uapi --user=etnomoti DomainInfo list_domains
Executing uapi --user=adaptorh DomainInfo list_domains
Executing uapi --user=istra4yo DomainInfo list_domains
Executing uapi --user=damdajhr DomainInfo list_domains
Executing uapi --user=onclickm DomainInfo list_domains
Executing uapi --user=cegrupac DomainInfo list_domains
Executing uapi --user=eautogur DomainInfo list_domains
Executing uapi --user=tehnofil DomainInfo list_domains
Executing uapi --user=beautyar DomainInfo list_domains
Executing uapi --user=arealigh DomainInfo list_domains
Executing uapi --user=gllhr DomainInfo list_domains
Executing uapi --user=trgovach DomainInfo list_domains
Executing uapi --user=flashexp DomainInfo list_domains
Executing uapi --user=dbrvnikgardens DomainInfo list_domains
Executing uapi --user=zagreb20 DomainInfo list_domains
Executing uapi --user=ebioteka DomainInfo list_domains
Executing uapi --user=quadrant DomainInfo list_domains
Executing uapi --user=votsonrs DomainInfo list_domains
Executing uapi --user=provital DomainInfo list_domains
Executing uapi --user=stentorh DomainInfo list_domains
Executing uapi --user=pakom DomainInfo list_domains
Executing uapi --user=simpithr DomainInfo list_domains
Executing uapi --user=istransfers DomainInfo list_domains
Executing uapi --user=mojapart DomainInfo list_domains
Executing uapi --user=milohanicc DomainInfo list_domains
Executing uapi --user=istrkamp DomainInfo list_domains
Executing uapi --user=marsinfo DomainInfo list_domains
Executing uapi --user=kaflovre DomainInfo list_domains


OWNER: kopaweb

USER: wwwkopar
koparent.com
[('koparent.com', ['178.218.166.201'])]
Executing whmapi1 dumpzone domain=koparent.com
Domain koparent.com is using correct SPF
Line:  35 Data:  v=spf1 +a +mx +ip4:178.218.166.201 +include:mojsite.com ~all
Domain koparent.com is using correct SPF
Line:  61 Data:  v=spf1 +a +mx +ip4:178.218.166.201 +include:mojsite.com ~all
DOING MX RECORD CHECK
TODO: MX Needs fixing to mail.DOMAIN.TLD! MX entry line number: 18
TODO: mail.domain.tld needs to be A record! Line: 33

USER: asistent
asistent24.hr
[('asistent24.hr', ['178.218.166.201'])]
Executing whmapi1 dumpzone domain=asistent24.hr
TODO: SPF CHECK - name: asistent24.hr. 
{'name': 'asistent24.hr.', 'type': 'TXT', 'txtdata': 'v=spf1 +a +mx +ip4:178.218.166.201 +ip4:178.218.165.228 ~all', 'char_str_list': ['"v=spf1 +a +mx +ip4:178.218.166.201 +ip4:178.218.165.228 ~all"'], 'ttl': 86400, 'Line': 35, 'unencoded': 1, 'class': 'IN'}
TODO: SPF CHECK - name: powercomputers.asistent24.hr. 
{'name': 'powercomputers.asistent24.hr.', 'type': 'TXT', 'txtdata': 'v=spf1 +a +mx +ip4:178.218.166.201 +ip4:178.218.165.228 ~all', 'char_str_list': ['"v=spf1 +a +mx +ip4:178.218.166.201 +ip4:178.218.165.228 ~all"'], 'ttl': 14400, 'Line': 36, 'unencoded': 1, 'class': 'IN'}
DOING MX RECORD CHECK
TODO: MX Needs fixing to mail.DOMAIN.TLD! MX entry line number: 18
TODO: mail.domain.tld needs to be A record! Line: 33
powercomputers.hr
False
Skipped: powercomputers.hr REASON: Domain powercomputers.hr not resolving on our name servers or domain ignored.

USER: kopaweb
kopaweb.com
[('kopaweb.com', ['178.218.166.201'])]
Executing whmapi1 dumpzone domain=kopaweb.com
TODO: SPF CHECK - name: bizdil25.kopaweb.com. 
{'name': 'bizdil25.kopaweb.com.', 'type': 'TXT', 'txtdata': 'v=spf1 +a +mx +ip4:178.218.166.201 ~all', 'char_str_list': ['"v=spf1 +a +mx +ip4:178.218.166.201 ~all"'], 'ttl': 300, 'Line': 120, 'unencoded': 1, 'class': 'IN'}
TODO: SPF CHECK - name: bta.kopaweb.com. 
{'name': 'bta.kopaweb.com.', 'type': 'TXT', 'txtdata': 'v=spf1 +a +mx +ip4:178.218.166.201 ~all', 'char_str_list': ['"v=spf1 +a +mx +ip4:178.218.166.201 ~all"'], 'ttl': 300, 'Line': 121, 'unencoded': 1, 'class': 'IN'}
TODO: SPF CHECK - name: csp.kopaweb.com. 
{'name': 'csp.kopaweb.com.', 'type': 'TXT', 'txtdata': 'v=spf1 +a +mx +ip4:178.218.166.201 ~all', 'char_str_list': ['"v=spf1 +a +mx +ip4:178.218.166.201 ~all"'], 'ttl': 300, 'Line': 122, 'unencoded': 1, 'class': 'IN'}
TODO: SPF CHECK - name: mcw.kopaweb.com. 
{'name': 'mcw.kopaweb.com.', 'type': 'TXT', 'txtdata': 'v=spf1 +a +mx +ip4:178.218.166.201 ~all', 'char_str_list': ['"v=spf1 +a +mx +ip4:178.218.166.201 ~all"'], 'ttl': 300, 'Line': 123, 'unencoded': 1, 'class': 'IN'}
TODO: SPF CHECK - name: kopaweb.com. 
{'name': 'kopaweb.com.', 'type': 'TXT', 'txtdata': 'v=spf1 +a +mx +ip4:178.218.166.201 ~all', 'char_str_list': ['"v=spf1 +a +mx +ip4:178.218.166.201 ~all"'], 'ttl': 300, 'Line': 124, 'unencoded': 1, 'class': 'IN'}
DOING MX RECORD CHECK
TODO: MX Needs fixing to mail.DOMAIN.TLD! MX entry line number: 19
TODO: mail.domain.tld needs to be A record! Line: 50

USER: hssghr
hssg.hr
[('hssg.hr', ['178.218.166.201'])]
Executing whmapi1 dumpzone domain=hssg.hr
Domain hssg.hr is using correct SPF
Line:  30 Data:  v=spf1 +a +mx +ip4:178.218.166.201 +include:mojsite.com ~all
DOING MX RECORD CHECK
TODO: MX Needs fixing to mail.DOMAIN.TLD! MX entry line number: 18
TODO: mail.domain.tld needs to be A record! Line: 28

USER: wwwmodus
modus-interijeri.hr
[('modus-interijeri.hr', ['178.218.166.201'])]
Executing whmapi1 dumpzone domain=modus-interijeri.hr
TODO: SPF CHECK - name: modus-interijeri.hr. 
{'name': 'modus-interijeri.hr.', 'type': 'TXT', 'txtdata': 'v=spf1 +a +mx +ip4:178.218.166.201 ~all', 'char_str_list': ['"v=spf1 +a +mx +ip4:178.218.166.201 ~all"'], 'ttl': 14400, 'Line': 42, 'unencoded': 1, 'class': 'IN'}
DOING MX RECORD CHECK
TODO: MX Needs fixing to mail.DOMAIN.TLD! MX entry line number: 19
TODO: mail.domain.tld needs to be A record! Line: 21

USER: virapart
vir-apartmani.com
[('vir-apartmani.com', ['178.218.166.201'])]
Executing whmapi1 dumpzone domain=vir-apartmani.com
TODO: SPF CHECK - name: igraonica-piccolo.vir-apartmani.com. 
{'name': 'igraonica-piccolo.vir-apartmani.com.', 'type': 'TXT', 'txtdata': 'v=spf1 +a +mx +ip4:178.218.166.201 ~all', 'char_str_list': ['"v=spf1 +a +mx +ip4:178.218.166.201 ~all"'], 'ttl': 300, 'Line': 63, 'unencoded': 1, 'class': 'IN'}
TODO: SPF CHECK - name: vir-apartmani.com. 
{'name': 'vir-apartmani.com.', 'type': 'TXT', 'txtdata': 'v=spf1 +a +mx +ip4:178.218.166.201 ~all', 'char_str_list': ['"v=spf1 +a +mx +ip4:178.218.166.201 ~all"'], 'ttl': 300, 'Line': 64, 'unencoded': 1, 'class': 'IN'}
DOING MX RECORD CHECK
TODO: MX Needs fixing to mail.DOMAIN.TLD! MX entry line number: 19
TODO: mail.domain.tld needs to be A record! Line: 36
igraonica-piccolo.com
False
Skipped: igraonica-piccolo.com REASON: Domain igraonica-piccolo.com not resolving on our name servers or domain ignored.

USER: wwwcog
cog.hr
[('cog.hr', ['178.218.166.201'])]
Executing whmapi1 dumpzone domain=cog.hr
Domain cog.hr is using correct SPF
Line:  34 Data:  v=spf1 +a +mx +ip4:178.218.166.201 +include:mojsite.com ~all
DOING MX RECORD CHECK
TODO: MX Needs fixing to mail.DOMAIN.TLD! MX entry line number: 19
TODO: mail.domain.tld needs to be A record! Line: 30
cog1994.hr
[('cog1994.hr', ['178.218.166.201'])]
Executing whmapi1 dumpzone domain=cog1994.hr
Domain cog1994.hr is using correct SPF
Line:  25 Data:  v=spf1 +a +mx +ip4:178.218.166.201 +include:mojsite.com ~all
DOING MX RECORD CHECK
TODO: MX Needs fixing to mail.DOMAIN.TLD! MX entry line number: 19
TODO: mail.domain.tld needs to be A record! Line: 21
cog1994.com
[('cog1994.com', ['178.218.166.201'])]
Executing whmapi1 dumpzone domain=cog1994.com
Domain cog1994.com is using correct SPF
Line:  25 Data:  v=spf1 +a +mx +ip4:178.218.166.201 +include:mojsite.com ~all
DOING MX RECORD CHECK
TODO: MX Needs fixing to mail.DOMAIN.TLD! MX entry line number: 19
TODO: mail.domain.tld needs to be A record! Line: 21

USER: zssg
zssg.hr
[('zssg.hr', ['178.218.166.201'])]
Executing whmapi1 dumpzone domain=zssg.hr
Domain zssg.hr is using correct SPF
Line:  30 Data:  v=spf1 +a +mx +ip4:178.218.166.201 +include:mojsite.com ~all
DOING MX RECORD CHECK
TODO: MX Needs fixing to mail.DOMAIN.TLD! MX entry line number: 18
TODO: mail.domain.tld needs to be A record! Line: 28

USER: retroviz
autoskola-retrovizor.hr
[('autoskola-retrovizor.hr', ['178.218.166.201'])]
Executing whmapi1 dumpzone domain=autoskola-retrovizor.hr
TODO: SPF CHECK - name: autoskola-retrovizor.hr. 
{'name': 'autoskola-retrovizor.hr.', 'type': 'TXT', 'txtdata': 'v=spf1 +a +mx +ip4:178.218.166.201 ~all', 'char_str_list': ['"v=spf1 +a +mx +ip4:178.218.166.201 ~all"'], 'ttl': 300, 'Line': 42, 'unencoded': 1, 'class': 'IN'}
DOING MX RECORD CHECK
TODO: MX Needs fixing to mail.DOMAIN.TLD! MX entry line number: 19
TODO: mail.domain.tld needs to be A record! Line: 29

USER: siloapar
silo-apartmani.com
[('silo-apartmani.com', ['178.218.166.201'])]
Executing whmapi1 dumpzone domain=silo-apartmani.com
TODO: SPF CHECK - name: silo-apartmani.com. 
{'name': 'silo-apartmani.com.', 'type': 'TXT', 'txtdata': 'v=spf1 +a +mx +ip4:178.218.166.201 ~all', 'char_str_list': ['"v=spf1 +a +mx +ip4:178.218.166.201 ~all"'], 'ttl': 300, 'Line': 42, 'unencoded': 1, 'class': 'IN'}
DOING MX RECORD CHECK
TODO: MX Needs fixing to mail.DOMAIN.TLD! MX entry line number: 19
TODO: mail.domain.tld needs to be A record! Line: 29

USER: miacojba
miacojbasic.com
[('miacojbasic.com', ['178.218.166.201'])]
Executing whmapi1 dumpzone domain=miacojbasic.com
Domain miacojbasic.com is using correct SPF
Line:  30 Data:  v=spf1 +a +mx +ip4:178.218.166.201 +include:mojsite.com ~all
DOING MX RECORD CHECK
TODO: MX Needs fixing to mail.DOMAIN.TLD! MX entry line number: 18
TODO: mail.domain.tld needs to be A record! Line: 28

USER: evocative
evocative.hr
[('alt4.aspmx.l.google.com', ['74.125.195.27']), ('alt2.aspmx.l.google.com', ['74.125.68.26']), ('alt3.aspmx.l.google.com', ['108.177.97.27']), ('alt1.aspmx.l.google.com', ['74.125.205.26']), ('aspmx.l.google.com', ['173.194.76.26']), ('evocative.hr', ['178.218.166.201'])]
Executing whmapi1 dumpzone domain=evocative.hr
Domain evocative.hr is using correct SPF
Line:  24 Data:  v=spf1 +a +mx +ip4:178.218.166.201 +include:mojsite.com ~all
DOING MX RECORD CHECK
TODO: MX Needs fixing to mail.DOMAIN.TLD! MX entry line number: 18
TODO: mail.domain.tld needs to be A record! Line: 20

USER: flatcoat
flatcoat-meggi.com
False
Skipped: flatcoat-meggi.com REASON: Domain flatcoat-meggi.com not resolving on our name servers or domain ignored.

USER: iradizajn
ira-dizajn.com
False
Skipped: ira-dizajn.com REASON: Domain ira-dizajn.com not resolving on our name servers or domain ignored.

USER: tmpkopaw
tmp.kopaweb.com
[('tmp.kopaweb.com', ['178.218.166.201'])]
Executing whmapi1 dumpzone domain=tmp.kopaweb.com
Domain tmp.kopaweb.com is using correct SPF
Line:  30 Data:  v=spf1 +a +mx +ip4:178.218.166.201 +include:mojsite.com ~all
DOING MX RECORD CHECK
TODO: MX Needs fixing to mail.DOMAIN.TLD! MX entry line number: 18
TODO: mail.domain.tld needs to be A record! Line: 28


OWNER: vilakrun

USER: renting
renting-out.com
False
Skipped: renting-out.com REASON: Domain renting-out.com not resolving on our name servers or domain ignored.

USER: kontinin
constructivecode.com
False
Skipped: constructivecode.com REASON: Domain constructivecode.com not resolving on our name servers or domain ignored.
koristankod.hr
[('koristankod.hr', ['178.218.166.201'])]
Executing whmapi1 dumpzone domain=koristankod.hr
TODO: SPF CHECK - name: koristankod.hr. 
{'name': 'koristankod.hr.', 'type': 'TXT', 'txtdata': 'v=spf1 +a +mx +ip4:178.218.166.201 +include:relays.webhost-mail.com +ip4:50.22.11.17 +include:hostmonster.com ~all', 'char_str_list': ['"v=spf1 +a +mx +ip4:178.218.166.201 +include:relays.webhost-mail.com +ip4:50.22.11.17 +include:hostmonster.com ~all"'], 'ttl': 14400, 'Line': 17, 'unencoded': 1, 'class': 'IN'}
DOING MX RECORD CHECK
TODO: MX Needs fixing to mail.DOMAIN.TLD! MX entry line number: 13
TODO: mail.domain.tld needs to be A record! Line: 14
iznajmljivaci20.com
[('iznajmljivaci20.com', ['178.218.166.201'])]
Executing whmapi1 dumpzone domain=iznajmljivaci20.com
TODO: SPF CHECK - name: iznajmljivaci20.com. 
